id,proc,name,recall,ntruth
107,DBLPProcessor,Loss,"[0.         0.         0.         0.02564103 0.05128205 0.05128205
 0.07692308 0.07692308 0.07692308 0.1025641  0.1025641  0.12820513
 0.12820513 0.15384615 0.17948718 0.17948718 0.20512821 0.23076923
 0.25641026 0.28205128 0.30769231 0.30769231 0.33333333 0.35897436
 0.38461538 0.41025641 0.43589744 0.46153846 0.46153846 0.48717949
 0.51282051 0.53846154 0.53846154 0.56410256 0.58974359 0.61538462
 0.64102564 0.64102564 0.66666667 0.66666667 0.66666667 0.69230769]",528
108,DBLPProcessor,Complaint,"[0.02564103 0.05128205 0.07692308 0.1025641  0.12820513 0.15384615
 0.17948718 0.20512821 0.23076923 0.25641026 0.28205128 0.30769231
 0.33333333 0.35897436 0.38461538 0.41025641 0.43589744 0.46153846
 0.48717949 0.51282051 0.53846154 0.56410256 0.58974359 0.61538462
 0.64102564 0.66666667 0.69230769 0.71794872 0.74358974 0.76923077
 0.79487179 0.82051282 0.84615385 0.87179487 0.8974359  0.92307692
 0.92307692 0.92307692 0.94871795 0.94871795 0.94871795 0.94871795]",528
109,DBLPProcessor,Tiresias,"[0.02564103 0.05128205 0.07692308 0.1025641  0.12820513 0.15384615
 0.15384615 0.17948718 0.20512821 0.23076923 0.23076923 0.25641026
 0.28205128 0.30769231 0.33333333 0.35897436 0.38461538 0.38461538
 0.38461538 0.38461538 0.38461538 0.38461538 0.38461538 0.38461538
 0.41025641 0.41025641 0.41025641 0.43589744 0.46153846 0.46153846
 0.46153846 0.46153846 0.46153846 0.48717949 0.51282051 0.51282051
 0.51282051 0.53846154 0.53846154 0.53846154 0.53846154 0.56410256]",528
143,DBLPProcessor,SelfLoss,"[0.         0.         0.         0.         0.02564103 0.05128205
 0.07692308 0.07692308 0.1025641  0.12820513 0.12820513 0.15384615
 0.15384615 0.15384615 0.17948718 0.17948718 0.20512821 0.23076923
 0.25641026 0.25641026 0.25641026 0.25641026 0.28205128 0.28205128
 0.30769231 0.33333333 0.35897436 0.38461538 0.41025641 0.43589744
 0.46153846 0.48717949 0.48717949 0.51282051 0.53846154 0.53846154
 0.56410256 0.56410256 0.58974359 0.61538462 0.61538462 0.64102564]",528
