id,proc,name,recall,ntruth
130,DBLPProcessor,Complaint,"[0.01086957 0.02173913 0.0326087  0.04347826 0.05434783 0.06521739
 0.07608696 0.08695652 0.09782609 0.10869565 0.11956522 0.13043478
 0.14130435 0.15217391 0.16304348 0.17391304 0.18478261 0.19565217
 0.20652174 0.2173913  0.22826087 0.23913043 0.25       0.26086957
 0.27173913 0.2826087  0.2826087  0.29347826 0.30434783 0.31521739
 0.32608696 0.33695652 0.34782609 0.35869565 0.36956522 0.38043478
 0.39130435 0.40217391 0.41304348 0.42391304 0.43478261 0.44565217
 0.45652174 0.4673913  0.47826087 0.48913043 0.5        0.51086957
 0.52173913 0.5326087  0.54347826 0.55434783 0.56521739 0.57608696
 0.58695652 0.59782609 0.60869565 0.61956522 0.63043478 0.64130435
 0.65217391 0.66304348 0.67391304 0.68478261 0.69565217 0.70652174
 0.7173913  0.72826087 0.73913043 0.75       0.76086957 0.77173913
 0.7826087  0.79347826 0.80434783 0.81521739 0.82608696 0.83695652
 0.84782609 0.85869565 0.86956522 0.88043478 0.89130435 0.90217391
 0.91304348 0.91304348 0.92391304 0.92391304 0.92391304 0.92391304
 0.93478261 0.93478261 0.93478261 0.93478261 0.93478261 0.93478261
 0.93478261 0.93478261 0.93478261 0.93478261 0.94565217]",92
131,DBLPProcessor,Loss,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01086957 0.02173913
 0.0326087  0.04347826 0.05434783 0.06521739 0.07608696 0.08695652
 0.09782609 0.10869565 0.11956522 0.13043478 0.14130435 0.15217391
 0.16304348 0.17391304 0.18478261 0.19565217 0.20652174 0.2173913
 0.2173913  0.2173913  0.2173913  0.2173913  0.2173913  0.22826087
 0.22826087 0.22826087 0.22826087 0.22826087 0.22826087 0.22826087
 0.23913043 0.25       0.25       0.25       0.25       0.25
 0.25       0.25       0.25       0.25       0.25       0.25
 0.25       0.26086957 0.26086957 0.26086957 0.26086957 0.26086957
 0.26086957 0.26086957 0.27173913 0.27173913 0.27173913 0.27173913
 0.2826087  0.2826087  0.29347826 0.29347826 0.29347826]",92
132,DBLPProcessor,Tiresias,"[0.01086957 0.02173913 0.0326087  0.04347826 0.05434783 0.06521739
 0.07608696 0.08695652 0.09782609 0.10869565 0.11956522 0.13043478
 0.14130435 0.15217391 0.16304348 0.17391304 0.18478261 0.19565217
 0.20652174 0.2173913  0.22826087 0.23913043 0.25       0.26086957
 0.26086957 0.27173913 0.2826087  0.29347826 0.30434783 0.31521739
 0.32608696 0.33695652 0.34782609 0.35869565 0.36956522 0.38043478
 0.39130435 0.40217391 0.41304348 0.42391304 0.43478261 0.44565217
 0.45652174 0.4673913  0.47826087 0.48913043 0.5        0.51086957
 0.52173913 0.5326087  0.54347826 0.55434783 0.56521739 0.57608696
 0.58695652 0.59782609 0.60869565 0.60869565 0.60869565 0.60869565
 0.61956522 0.63043478 0.64130435 0.65217391 0.66304348 0.67391304
 0.68478261 0.69565217 0.69565217 0.70652174 0.7173913  0.72826087
 0.73913043 0.75       0.75       0.76086957 0.77173913 0.77173913
 0.77173913 0.77173913 0.77173913 0.77173913 0.7826087  0.79347826
 0.79347826 0.79347826 0.79347826 0.79347826 0.79347826 0.79347826
 0.79347826 0.79347826 0.79347826 0.79347826 0.79347826 0.79347826
 0.79347826 0.80434783 0.80434783 0.80434783 0.80434783]",92
151,DBLPProcessor,SelfLoss,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957
 0.01086957 0.01086957 0.01086957 0.01086957 0.01086957]",92
